13 32
0.014.0 14.014.0
0.014.0 0.00.0 
0.014.0 0.028.0 
0.014.0 9.014.0
0.00.0 0.014.0 
0.00.0 14.00.0 
14.00.0 0.00.0 
14.00.0 14.014.0
14.00.0 14.010.0
14.00.0 24.00.0 
14.014.0 14.00.0
14.014.0 0.014.0
0.028.0 9.028.0
0.028.0 0.014.0 
9.014.0 0.014.0
9.014.0 9.028.0
9.014.0 9.024.0
9.014.0 19.014.0 
9.028.0 9.014.0
9.028.0 0.028.0
19.028.0 19.014.0 
19.028.0 9.024.0 
9.024.0 19.028.0 
9.024.0 9.014.0
19.014.0 9.014.0 
19.014.0 19.028.0 
24.010.0 24.00.0 
24.010.0 14.010.0 
14.010.0 24.010.0 
14.010.0 14.00.0 
24.00.0 14.00.0
24.00.0 24.010.0 
